                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1745,                 1.1424,                 1.7516,                  0.903,                0.69948,                 0.7938,                0.50709,                 1.3102,                 1.0413,                 1.8673,              0.0007162,              0.0007162,              0.0007162
                     89,                 1.1593,                 1.1447,                 1.7602,                0.87146,                0.72539,                0.79949,                0.50264,                 1.2467,                 1.0865,                 1.8722,              0.0007129,              0.0007129,              0.0007129
                     90,                 1.1654,                 1.1276,                 1.7643,                0.82491,                0.71503,                0.77009,                0.48462,                 1.3612,                  1.184,                 1.9054,              0.0007096,              0.0007096,              0.0007096
                     91,                 1.1509,                 1.1344,                 1.7375,                0.87718,                0.74012,                0.79975,                0.49075,                 1.2932,                 1.0421,                 1.8624,              0.0007063,              0.0007063,              0.0007063
                     92,                 1.1685,                 1.1197,                 1.7625,                0.90848,                0.77151,                0.81321,                0.51966,                 1.2815,                0.96497,                 1.8502,               0.000703,               0.000703,               0.000703
                     93,                 1.1557,                 1.1408,                 1.7629,                0.88243,                0.66111,                0.77979,                0.50277,                 1.2739,                 1.1382,                 1.8214,              0.0006997,              0.0006997,              0.0006997
                     94,                 1.1472,                 1.1305,                 1.7524,                0.83547,                0.72021,                0.78194,                0.49946,                  1.268,                 1.0663,                 1.8417,              0.0006964,              0.0006964,              0.0006964
                     95,                 1.1577,                 1.1113,                  1.752,                0.85232,                0.71503,                0.79251,                0.50712,                 1.2935,                 1.0732,                  1.852,              0.0006931,              0.0006931,              0.0006931
                     96,                 1.1552,                 1.1387,                  1.749,                0.84062,                0.71054,                 0.7698,                0.48412,                 1.2651,                 1.1187,                 1.8393,              0.0006898,              0.0006898,              0.0006898
                     97,                 1.1637,                 1.1277,                 1.7434,                0.91144,                0.71503,                0.82292,                0.52928,                  1.259,                0.98235,                 1.8275,              0.0006865,              0.0006865,              0.0006865
                     98,                  1.145,                 1.1154,                  1.743,                0.83196,                0.74395,                0.79049,                  0.493,                 1.2975,                 1.0726,                 1.8455,              0.0006832,              0.0006832,              0.0006832
                     99,                 1.1557,                 1.1332,                 1.7437,                0.89995,                 0.7457,                0.81057,                 0.5202,                 1.2585,                 0.9386,                 1.8398,              0.0006799,              0.0006799,              0.0006799
                    100,                 1.1247,                 1.0945,                 1.7252,                0.79863,                0.74093,                 0.7968,                0.50147,                 1.3416,                 1.0701,                 1.9158,              0.0006766,              0.0006766,              0.0006766
                    101,                 1.1311,                 1.0976,                 1.7292,                0.83948,                0.75874,                0.81678,                0.53246,                 1.2602,                0.98413,                  1.826,              0.0006733,              0.0006733,              0.0006733
                    102,                 1.1305,                 1.1045,                 1.7414,                0.85484,                0.73575,                0.79897,                0.52022,                 1.2255,                 1.0776,                 1.7968,                0.00067,                0.00067,                0.00067
                    103,                 1.1342,                  1.103,                 1.7421,                0.89747,                0.77102,                0.82319,                0.52754,                 1.2549,                 0.9003,                 1.8158,              0.0006667,              0.0006667,              0.0006667
                    104,                  1.143,                 1.1021,                 1.7304,                0.84245,                0.74093,                0.81261,                0.52047,                 1.2577,                 1.0439,                 1.8341,              0.0006634,              0.0006634,              0.0006634
                    105,                 1.1372,                 1.0893,                 1.7294,                0.89617,                0.71552,                0.82578,                0.52902,                 1.2804,                 1.0397,                 1.8591,              0.0006601,              0.0006601,              0.0006601
                    106,                 1.1381,                  1.089,                 1.7176,                0.83195,                0.73057,                0.79039,                0.49388,                  1.316,                 1.1057,                 1.8853,              0.0006568,              0.0006568,              0.0006568
                    107,                 1.1551,                   1.12,                 1.7482,                0.88025,                0.72369,                0.80408,                0.52208,                 1.2464,                 1.0641,                 1.8025,              0.0006535,              0.0006535,              0.0006535
                    108,                 1.1296,                 1.0816,                 1.7336,                0.85737,                0.74611,                0.82019,                0.52766,                 1.2541,                 1.0722,                 1.7878,              0.0006502,              0.0006502,              0.0006502
                    109,                 1.1505,                 1.0972,                 1.7386,                0.84966,                0.78238,                0.82779,                0.52862,                 1.2342,                0.96968,                 1.7917,              0.0006469,              0.0006469,              0.0006469
                    110,                 1.1114,                 1.0613,                  1.718,                0.84225,                0.74093,                0.81335,                0.54306,                 1.2066,                0.98272,                 1.7669,              0.0006436,              0.0006436,              0.0006436
                    111,                 1.1509,                 1.0684,                 1.7323,                0.91612,                0.79225,                0.84088,                0.54408,                 1.2244,                0.91194,                 1.7802,              0.0006403,              0.0006403,              0.0006403
                    112,                 1.1075,                 1.0835,                 1.7044,                0.78459,                0.68394,                0.76233,                0.48381,                 1.2992,                 1.2228,                 1.8403,               0.000637,               0.000637,               0.000637
                    113,                 1.1554,                 1.0695,                 1.7397,                0.90913,                 0.7513,                0.83456,                 0.5429,                 1.2152,                0.91513,                 1.7919,              0.0006337,              0.0006337,              0.0006337
                    114,                 1.1194,                 1.0788,                 1.7199,                0.85826,                0.72163,                0.81021,                0.51862,                 1.3128,                 1.0728,                 1.8504,              0.0006304,              0.0006304,              0.0006304
                    115,                 1.1139,                 1.0557,                 1.7172,                0.89283,                 0.7772,                0.83085,                0.53393,                 1.2341,                0.96006,                 1.8035,              0.0006271,              0.0006271,              0.0006271
                    116,                 1.1068,                 1.0706,                 1.7066,                 0.9176,                0.73575,                0.80441,                0.53795,                 1.2034,                0.97319,                 1.7688,              0.0006238,              0.0006238,              0.0006238
                    117,                 1.1198,                 1.0452,                 1.7075,                0.83539,                0.73626,                0.81085,                0.52043,                   1.31,                 1.0817,                  1.825,              0.0006205,              0.0006205,              0.0006205
